name,posX,posY,time
Danny Masterson,0.0005698990905915138,0.069284914839744,2023-09-07
Sentence,0.27176697044342743,-0.44289091027393212,2023-09-07
Justice,-0.4412336586705312,-0.39246024298281895,2023-09-07
Sexual encounters,-0.5769684882124235,-0.13301892424557957,2023-09-07
30 years to life,-0.07148293739264892,-0.5,2023-09-07
30 years in prison,0.5212659782184311,-0.2254682152232749,2023-09-07
No physical evidence,0.7284190982700695,-0.5110868914438038,2023-09-07
Verbal evidence,0.3053449791064838,-0.8343370539143203,2023-09-07
#MeToo moral panic,-0.8466170476695783,-0.3640777145266936,2023-09-07
Sexual assault,0.04228926562783984,0.5223765092699978,2023-09-07
Hollywood,-0.7242484213711107,0.10132269973027991,2023-09-07
#MeToo,0.042523328394556144,0.6860033644984187,2023-09-07
The '70s Show,-0.3300903932801706,0.233599825692039632,2023-09-07
Controversy,-0.6705218490758677,-0.6719453087178702,2023-09-07
Scientology,-0.35190458754106797,0.6366260068648626,2023-09-07
Predator,-0.4526277267521915,-0.70253335178773548,2023-09-07
Kevin Spacey,0.5381509146265078,0.3535445852369339,2023-09-07
Men,0.6730371310843083,0.46011389700478517,2023-09-07
Danny Masterson,0.163591893828732,-0.15351910391426893,2023-09-08
Justice,-0.550330366551847,-0.4364418912529172,2023-09-08
Survivor,-0.22198239733617542,-0.04008446227920295,2023-09-08
Hope,-0.5054535647196268,-0.19890959775841077,2023-09-08
Sexual assault,0.024992258608108497,0.38346181935355805,2023-09-08
Scientology,0.6810224529549296,0.4557630322929678,2023-09-08
Irresponsible,0.9418862193911273,-0.36673795877545945,2023-09-08
Brock Turner,0.3455964533464714,-1.0,2023-09-08
Lizzo,-0.23724043465473263,0.01782101018986937,2023-09-08
Crusaders,-0.2736420625001529,0.2309066683935896,2023-09-08
#MeToo,-0.49796922034556396,0.40807930878877563,2023-09-08
Consensual,0.12952876797873009,0.6996611749614989,2023-09-08
Danny Masterson,-0.11607065379275666,0.2105953861809581,2023-09-09
Scientology,-1.0,0.13794468120436723,2023-09-09
Bad reputation with women,0.7747540184787772,0.21520856361353963,2023-09-09
Predator,-0.4526277267521915,0.70253335178773548,2023-09-09
Wilmer Valderrama,-0.6803502548106437,-0.008907691741571985,2023-09-09
Sentence,0.047836446788466186,-0.47679223432716306,2023-09-09
No physical evidence,0.8254327778278389,-0.10614563798983817,2023-09-09
Verbal evidence,-0.15796208504141354,-0.9630390087068893,2023-09-09
Ambush,-0.9492845460857071,-0.5462124370616636,2023-09-09
Statute of limitations,0.7118710683008017,-0.46666563128095806,2023-09-09
Justice,-0.8210469146325453,0.5946439872546954,2023-09-09
Women,0.6055040469422008,0.5419887392947459,2023-09-09
#MeToo,0.4957661859497487,-0.650173383795104,2023-09-09
Crusaders,0.520839461006442,0.5693537173042311,2023-09-09
#MeToo Comeback,-0.4898064247880368,0.9191962765825965,2023-09-09
Ashley Hinshaw,0.3734548111539755,-0.5578616076731032,2023-09-09
Survivor,0.4116897894550437,-0.8238577928211916,2023-09-09
Mila Kunis,0.601635645601855058,0.15714189961639954,2023-09-10
Apology,0.11158909525809512,0.28239133057965784,2023-09-10
Ashton Kutcher,-0.4,0.37167366575867982,2023-09-10
Danny Masterson,-0.24632006071324408,-0.04081341787745532,2023-09-10
Scientology,-0.472264861893868,-0.4067226140791396,2023-09-10
Survivor,0.23697552180199333,0.80110295409883196,2023-09-10
Cult,-0.671752439816365,-0.605432602139864,2023-09-10
Guilty,-0.7066714756124955,0.0956466469082039,2023-09-10
Sexual assault,0.15,-0.5180456727672113,2023-09-10
Hope,0.6024153927584203,0.6037085720901493,2023-09-10
Justice,-0.9491417238459413,-0.199649915870551,2023-09-10
Liars, 0.75,-0.5,2023-09-10
Robbery,0.20,-0.330173383795104,2023-09-10
Victims,0.6,-0.23,2023-09-10
Donald Trump, -0.9,0.2,2023-09-10
Crusaders,0.6525473883426124,-1.0,2023-09-11
#MeToo,-0.6525473883426124,1.0,2023-09-11
Sentence,0.6525473883426124,-1.0,2023-09-12
No physical evidence,-0.6525473883426124,1.0,2023-09-12
Danny Masterson,-0.10314455792113673,0.002068802576234848,2023-09-13
Sentence,0.11709971872399753,-0.004428220684060015,2023-09-13
Verbal evidence,0.9732090061021512,0.09054067115352778,2023-09-13
#MeToo,-0.7535684638460528,-0.09643982384027487,2023-09-13
Sexual assault,-0.30293503667263016,-0.9917414292054278,2023-09-13
Harvey Weinstein,0.06933933361367063,1.0,2023-09-13
Sentence,0.6525473883426124,-1.0,2023-09-14
Verbal evidence,-0.6525473883426124,1.0,2023-09-14
Danny Masterson,0.0,0.0,2023-09-15
Danny Masterson,0.002044076940561978,0.2413075865888585,2023-09-16
Justice,-0.71716260700397174,-0.77113702071816788,2023-09-16
Predator,-0.1821105174725185,-0.347330427464403,2023-09-16
#MeToo,-1.0,-0.00373662702690049,2023-09-16
Ashton Kutcher,-0.65,0.57167366575867982,2023-09-16
Russell Brand,0.833008012590892,-0.6137643663081934,2023-09-16
Survivor,0.056897894550437,0.9238577928211916,2023-09-16
Mila Kunis,0.701635645601855058,0.52714189961639954,2023-09-16
Danny Masterson,-0.03925129319121108,0.1166655938775855,2023-09-17
Russell Brand,0.07249166645079656,-0.5715638463448458,2023-09-17
#MeToo,0.9667596267404146,-0.4809283448235536,2023-09-17
Predator,-1.0,0.9358265972908139,2023-09-17
Danny Masterson,-0.0039049068679423695,-0.1305295655910994,2023-09-18
Abusers,-0.14072563630772872,0.8300145067725561,2023-09-18
Awesome guys,0.4349185527806352,0.7819986413839204,2023-09-18
Christina Ricci,-0.7130978136515572,0.8934034523927055,2023-09-18
Sentence,-0.3392921078064493,-1.0,2023-09-18
Justice,0.32882343932899266,-0.1343138860988996,2023-09-18
Predator,0.5786611953544989,-0.32723004990580257,2023-09-18
Verbal evidence,-0.14538272283044892,-0.9133430989533801,2023-09-18
Sentence,0.6525473883426113,-1.0,2023-09-19
Danny Masterson,-0.6525473883426113,1.0,2023-09-19
