year,source,target,id,type,citationcount,count
1990,Christos Faloutsos,Catherine Plaisant,53e9a089b7602d97029717b1,Co-co-author,33.0,1
1990,Christos Faloutsos,Raymond Lee,53e9a089b7602d97029717b1,Co-co-author,33.0,1
1990,Patricia Baird,Ben Shneiderman,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Patricia Baird,Ian Williams,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Patricia Baird,Jacqueline Covo,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Patricia Baird,Renee Deter,53e99cd2b7602d9702586509,Co-co-author,6.0,1
1990,Tricia Jones,Ben Shneiderman,53e99ddbb7602d970269faff,Co-co-author,7.0,1
1991,Andrew Sears,Ben Shneiderman,53e9b43db7602d9703f3975b,Co-co-author,549.0,1
1991,Ben Shneiderman,Catherine Plaisant,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Ben Shneiderman,Don Hopkins,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Ben Shneiderman,Rodrigo Botafogo,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Ben Shneiderman,William Weiland,53e9aa66b7602d97033d9fb1,Co-co-author,31.0,1
1991,Brad A. Myers,Allen Cypher,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brad A. Myers,Ben Shneiderman,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brad A. Myers,David C. Smith,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brad A. Myers,David Maulsby,53e99a2bb7602d9702287915,Co-co-author,22.0,1
1991,Brian Johnson,Ben Shneiderman,53e99aa5b7602d970231b53d,Co-co-author,2238.0,1
1991,Catherine Plaisant,Ben Shneiderman,53e9bc42b7602d97048b6185,Co-co-author,12.0,1
1991,Kwan-Liu Ma,James S. Painter,53e9b321b7602d9703defd98,Co-co-author,34.0,1
1991,Kwan-Liu Ma,K. Sikorski,53e9b5edb7602d970413d078,Co-co-author,1.0,1
1991,Kwan-Liu Ma,Michael F. Cohen,53e9b321b7602d9703defd98,Co-co-author,34.0,1
1991,Rodrigo A. Botafogo,Ben Shneiderman,53e9a8f9b7602d970324afbb,Co-co-author,230.0,1
1992,Abbe Don,Ben Shneiderman,53e9a011b7602d97028f82b9,Co-co-author,87.0,1
1992,Abbe Don,Brenda Laurel,53e9a011b7602d97028f82b9,Co-co-author,87.0,1
1992,Abbe Don,Susan Brennan,53e9a011b7602d97028f82b9,Co-co-author,87.0,1
1992,Ben Shneiderman,Christopher Ahlberg,53e9bb22b7602d970475c43d,Co-co-author,44.0,1
1992,Ben Shneiderman,Christopher Williamson,53e9bb22b7602d970475c43d,Co-co-author,44.0,1
1992,Ben Shneiderman,Susanne M. Humphrey,53e997ecb7602d9701fe8112,Co-co-author,0.0,1
1992,Catherine Plaisant,Ben Shneiderman,53e9bdb8b7602d9704a641cc,Co-co-author,26.0,1
1992,Christopher Ahlberg,Ben Shneiderman,53e9ac39b7602d9703604279,Co-co-author,763.0,1
1992,Christopher Ahlberg,Christopher Williamson,53e9ac39b7602d9703604279,Co-co-author,763.0,1
1992,Christopher Williamson,Ben Shneiderman,53e9ba38b7602d97046464ec,Co-co-author,429.0,1
1992,Kwan-Liu Ma,Philip J. Smith,53e9a4a3b7602d9702dc4f47,Co-co-author,39.0,1
1992,Rodrigo A. Botafogo,Ben Shneiderman,53e9b19cb7602d9703c24fd6,Co-co-author,701.0,1
1992,Rodrigo A. Botafogo,Ehud Rivlin,53e9b19cb7602d9703c24fd6,Co-co-author,701.0,1
1993,Andrew Sears,Ben Shneiderman,573695d56e3b12023e4ed1ae,Co-co-author,218.0,1
1993,Andrew Sears,Doreen Revis,573695d56e3b12023e4ed1ae,Co-co-author,218.0,1
1993,Andrew Sears,Janet Swatski,573695d56e3b12023e4ed1ae,Co-co-author,218.0,1
1993,Andrew Sears,Rob Crittenden,573695d56e3b12023e4ed1ae,Co-co-author,218.0,1
1993,Ben Shneiderman,Clayton Lewis,573695d56e3b12023e4ed200,Co-co-author,6.0,1
1993,Degi Young,Ben Shneiderman,53e9bddbb7602d9704a8b8ff,Co-co-author,177.0,1
1993,Kwan-Liu Ma,James S. Painter,53e9ad26b7602d970370976e,Co-co-author,34.0,1
1993,Kwan-Liu Ma,Philip J. Smith,53e99a3cb7602d970229d59a,Co-co-author,19.0,1
1993,Lewis R. Karl,Ben Shneiderman,53e9ade9b7602d97037f52d3,Co-co-author,3.0,1
1993,Lewis R. Karl,Michael Pettey,53e9ade9b7602d97037f52d3,Co-co-author,3.0,1
1993,Susanne M. Humphrey,Ben Shneiderman,60d30937e4510cd7c86acd7f,Co-co-author,0.0,1
1993,Wayne Citrin,Ben Shneiderman,53e9a0d8b7602d97029bfb70,Co-co-author,13.0,1
1993,Wayne Citrin,Carl Hewitt,53e9a0d8b7602d97029bfb70,Co-co-author,13.0,1
1993,Wayne Citrin,Dan Halbert,53e9a0d8b7602d97029bfb70,Co-co-author,13.0,1
1993,Wayne Citrin,Norm Meyrowitz,53e9a0d8b7602d97029bfb70,Co-co-author,13.0,1
1993,Wayne Citrin,Takayuki Dan Kimura,53e9a0d8b7602d97029bfb70,Co-co-author,13.0,1
