year,name,posX,posY
1994,Tamara Munzner,0.3627246121058295,0.42020747752246757
1994,Andrew J. Hanson,0.3627246121058295,0.42020747752246757
1994,George Francis,0.3627246121058295,0.42020747752246757
1995,Gavin Bell,0.5558108836875411,0.47059012470686584
1995,Val Watson,0.5558108836875411,0.47059012470686584
1995,Carl Machover,0.5558108836875411,0.47059012470686584
1995,Tamara Munzner,0.4792490469370189,0.33280469555333203
1995,Fabio Pettinati,0.5558108836875411,0.47059012470686584
1995,Tamara Munzner,0.4792490469370189,0.33280469555333203
1995,Paul Burchard,0.40226146162751486,0.2291809680868403
1995,Nina Amenta,0.35545877281745536,0.31950052606169277
1995,Stuart Levy,0.35545877281745536,0.31950052606169277
1995,Tamara Munzner,0.4792490469370189,0.33280469555333203
1995,Mark Phillips,0.35545877281745536,0.31950052606169277
1996,Bill Fenner,0.4401362161321072,0.5319049098074885
1996,kc claffy,0.4401362161321072,0.5319049098074885
1996,Eric Hoffman,0.4401362161321072,0.5319049098074885
1996,Tamara Munzner,0.4401362161321072,0.5319049098074885
1999,David H. Laidlaw,0.4314557652696477,0.5487158244872381
1999,J. Edward Swan II,0.4314557652696477,0.5487158244872381
1999,Theresa-Marie Rhyne,0.4314557652696477,0.5487158244872381
1999,Victoria Interrante,0.4314557652696477,0.5487158244872381
1999,Tamara Munzner,0.5307754163785632,0.5487834954534602
1999,George Robertson,0.6181899973349547,0.3517911465050694
1999,Tamara Munzner,0.5307754163785632,0.5487834954534602
1999,Francois Guimbretiere,0.6181899973349547,0.3517911465050694
2000,Tamara Munzner,0.6107378436719606,0.5982065614835452
2000,Mary P. Czerwinski,0.6107378436719606,0.5982065614835452
2000,Kirsten Risden,0.6107378436719606,0.5982065614835452
2000,Daniel B. Cook,0.6107378436719606,0.5982065614835452
2000,Tamara Munzner,0.6107378436719606,0.5982065614835452
2003,Yunhong Zhou,0.5140961092364411,0.3877607272735305
2003,Serdar Tasiran,0.5140961092364411,0.3877607272735305
2003,Li Zhang,0.5140961092364411,0.3877607272735305
2003,Tamara Munzner,0.48742936335634734,0.42992680880604595
2003,François Guimbretière,0.5140961092364411,0.3877607272735305
2003,David H. Laidlaw,0.32597644500659556,0.3513545539116574
2003,Melanie Tory,0.32597644500659556,0.3513545539116574
2003,Theresa-Marie Rhyne,0.32597644500659556,0.3513545539116574
2003,Chris Johnson,0.32597644500659556,0.3513545539116574
2003,Tamara Munzner,0.48742936335634734,0.42992680880604595
2003,Matthew O. Ward,0.32597644500659556,0.3513545539116574
2003,Yunhong Zhou,0.5140961092364411,0.3877607272735305
2003,Serdar Tasiran,0.5140961092364411,0.3877607272735305
2003,Li Zhang,0.5140961092364411,0.3877607272735305
2003,Tamara Munzner,0.48742936335634734,0.42992680880604595
2003,François Guimbretière,0.5140961092364411,0.3877607272735305
2004,David Auber,0.6092760664358127,0.5006355613497753
2004,Maylis Delest,0.6092760664358127,0.5006355613497753
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Jean-Philippe Domenger,0.6092760664358127,0.5006355613497753
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Matt Williams,0.5364013798313768,0.4683232967136453
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Stephen C. North,0.6216107499330616,0.5065048151269882
2004,Ronald A. Rensink,0.4505617753426636,0.8216944903665888
2004,Keith Lau,0.4505617753426636,0.8216944903665888
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Lior Berry,0.728207425644062,0.6268415273917405
2004,Katherine St. John,0.6363684473315363,0.7348129494696303
2004,Kristian Hildebrand,0.6363684473315363,0.7348129494696303
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,James Slack,0.6363684473315363,0.7348129494696303
2004,Daniel A. Keim,0.6216107499330616,0.5065048151269882
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Stephen C. North,0.6216107499330616,0.5065048151269882
2004,Ronald A. Rensink,0.4505617753426636,0.8216944903665888
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Matt Williams,0.5364013798313768,0.4683232967136453
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Lior Berry,0.728207425644062,0.6268415273917405
2004,David Auber,0.6092760664358127,0.5006355613497753
2004,Maylis Delest,0.6092760664358127,0.5006355613497753
2004,Tamara Munzner,0.6308503960554325,0.6394847253121224
2004,Jean-Philippe Domenger,0.6092760664358127,0.5006355613497753
2005,Tamara Munzner,0.46224556531183814,0.5507691694780646
2005,Kristian Hildebrand,0.45814195601342034,0.48236643520251393
2005,Tamara Munzner,0.46224556531183814,0.5507691694780646
2005,James Slack,0.45814195601342034,0.48236643520251393
2005,Greg Humphreys,0.45103222708969354,0.30893933572697135
2005,Tamara Munzner,0.46224556531183814,0.5507691694780646
2005,Dale Beermann,0.45103222708969354,0.30893933572697135
2005,Tamara Munzner,0.46224556531183814,0.5507691694780646
2005,Kristian Hildebrand,0.45814195601342034,0.48236643520251393
2005,Tamara Munzner,0.46224556531183814,0.5507691694780646
2005,James Slack,0.45814195601342034,0.48236643520251393
2006,Dmitry Nekrasovski,0.5662972180347036,0.5423133192280183
2006,Adam Bodnar,0.5662972180347036,0.5423133192280183
2006,Joanna McGrenere,0.5662972180347036,0.5423133192280183
2006,Tamara Munzner,0.5765079005784514,0.5042622495674829
2006,François Guimbretière,0.5662972180347036,0.5423133192280183
2006,Kristian Hildebrand,0.4882346686569481,0.3733371622846805
2006,Tamara Munzner,0.5765079005784514,0.5042622495674829
2006,James Slack,0.4931740311480253,0.4068390819635706
2006,Ronald A. Rensink,0.5840185420030798,0.39754393482740935
2006,Tamara Munzner,0.5765079005784514,0.5042622495674829
2006,Heidi Lam,0.5840185420030798,0.39754393482740935
2006,Terry S. Yoo,0.5408466174640819,0.6997884486559947
2006,Hanspeter Pfister,0.5408466174640819,0.6997884486559947
2006,Chris Johnson,0.5408466174640819,0.6997884486559947
2006,Robert Moorhead,0.5408466174640819,0.6997884486559947
2006,Tamara Munzner,0.5765079005784514,0.5042622495674829
2006,Penny Rheingans,0.5408466174640819,0.6997884486559947
2006,Terry S. Yoo,0.5408466174640819,0.6997884486559947
2006,Hanspeter Pfister,0.5408466174640819,0.6997884486559947
2006,Chris Johnson,0.5408466174640819,0.6997884486559947
2006,Robert Moorhead,0.5408466174640819,0.6997884486559947
2006,Tamara Munzner,0.5765079005784514,0.5042622495674829
2006,Penny Rheingans,0.5408466174640819,0.6997884486559947
2006,Tamara Munzner,0.5765079005784514,0.5042622495674829
2006,James Slack,0.4931740311480253,0.4068390819635706
2006,David Auber,0.48191349876505274,0.036160264860046476
2006,Tamara Munzner,0.5765079005784514,0.5042622495674829
2006,Daniel Archambault,0.48191349876505274,0.036160264860046476
2007,Jennifer L. Gardy,0.24967490772528883,0.09824244189675896
2007,Tamara Munzner,0.351506172686807,0.38161362890542594
2007,Robert E W Hancock,0.24967490772528883,0.09824244189675896
2007,Aaron Barsky,0.24967490772528883,0.09824244189675896
2007,Diane Tang,0.7422320773471603,0.6508636369214595
2007,Tamara Munzner,0.351506172686807,0.38161362890542594
2007,Daniel Russell,0.7422320773471603,0.6508636369214595
2007,Heidi Lam,0.5858035716188613,0.5558351767790509
2007,Melanie Tory,0.5963812805637708,0.42428204313121975
2007,David Sprague,0.5963812805637708,0.42428204313121975
2007,Tamara Munzner,0.351506172686807,0.38161362890542594
2007,Wing Yan So,0.5963812805637708,0.42428204313121975
2007,Fuqu Wu,0.5963812805637708,0.42428204313121975
2007,David Auber,0.6346479911136085,0.22569217344576703
2007,Tamara Munzner,0.351506172686807,0.38161362890542594
2007,Daniel Archambault,0.6346479911136085,0.22569217344576703
2007,David Auber,0.6346479911136085,0.22569217344576703
2007,Tamara Munzner,0.351506172686807,0.38161362890542594
2007,Daniel Archambault,0.6346479911136085,0.22569217344576703
2007,Robert Kincaid,0.4802791471318203,0.554571448851244
2007,Tamara Munzner,0.351506172686807,0.38161362890542594
2007,Heidi Lam,0.5858035716188613,0.5558351767790509
2008,Tamara Munzner,0.5284138033548474,0.42350716956377144
2008,Heidi Lam,0.5037360153652859,0.7531632080413311
2008,Eleftherios Koutsofios,0.5358131211691411,0.6569669676801138
2008,Tamara Munzner,0.5284138033548474,0.42350716956377144
2008,Stephen C. North,0.5358131211691411,0.6569669676801138
2008,Peter McLachlan,0.5358131211691411,0.6569669676801138
2008,David Auber,0.668122789731333,0.2510331953378705
2008,Tamara Munzner,0.5284138033548474,0.42350716956377144
2008,Daniel Archambault,0.668122789731333,0.2510331953378705
2008,Jennifer L. Gardy,0.47495367728953214,0.2983117326803919
2008,Robert Kincaid,0.47495367728953214,0.2983117326803919
2008,Tamara Munzner,0.5284138033548474,0.42350716956377144
2008,Aaron Barsky,0.47495367728953214,0.2983117326803919
2009,David Auber,0.46899848690034734,0.2171186248755403
2009,Tamara Munzner,0.34654868444709563,0.2262605709504249
2009,Daniel Archambault,0.46899848690034734,0.2171186248755403
2009,Miriah D. Meyer,0.4782118590089202,0.4435604813904177
2009,Hanspeter Pfister,0.4782118590089202,0.4435604813904177
2009,Tamara Munzner,0.34654868444709563,0.2262605709504249
2009,Marc Olano,0.4589476618982523,0.3603249762283407
2009,Stephen Ingram,0.4589476618982523,0.3603249762283407
2009,Tamara Munzner,0.34654868444709563,0.2262605709504249
2010,Mark P. Styczynski,0.3706396791406953,0.29458642082632364
2010,Miriah D. Meyer,0.44514723741365875,0.3923015724991617
2010,Hanspeter Pfister,0.44514723741365875,0.3923015724991617
2010,Tamara Munzner,0.4796423196334388,0.39011451076152565
2010,Bang Wong,0.3706396791406953,0.29458642082632364
2010,Melanie Tory,0.6777213788305527,0.5443011703752267
2010,Torsten Möller,0.6777213788305527,0.5443011703752267
2010,Tamara Munzner,0.4796423196334388,0.39011451076152565
2010,Stephen Ingram,0.6777213788305527,0.5443011703752267
2010,Steven Bergner,0.6777213788305527,0.5443011703752267
2010,Veronika Irvine,0.6777213788305527,0.5443011703752267
2010,Hanspeter Pfister,0.44514723741365875,0.3923015724991617
2010,Miriah D. Meyer,0.44514723741365875,0.3923015724991617
2010,Angela DePace,0.28926072358751354,0.29419769676902785
2010,Tamara Munzner,0.4796423196334388,0.39011451076152565
2011,Tamara Munzner,0.6196626698051608,0.5806848158115687
2011,Matt Williams,0.6089730403773588,0.6336728919445402
2011,Aaron Barsky,0.6089730403773588,0.6336728919445402
2011,David Auber,0.546223532916306,0.27577592642126425
2011,Tamara Munzner,0.6196626698051608,0.5806848158115687
2011,Daniel Archambault,0.546223532916306,0.27577592642126425
2012,Michael Sedlmair,0.6619412246964994,0.5759969341988124
2012,Miriah D. Meyer,0.5647656268719639,0.5456702339347235
2012,Tamara Munzner,0.5868475242668731,0.5655623057151395
2012,Michael Sedlmair,0.6619412246964994,0.5759969341988124
2012,Andreas Butz,0.5472806841474397,0.4484400270595421
2012,Tamara Munzner,0.5868475242668731,0.5655623057151395
2012,Annika Frank,0.5472806841474397,0.4484400270595421
2012,Stephen Ingram,0.6284293516077929,0.40411045042214894
2012,Tamara Munzner,0.5868475242668731,0.5655623057151395
2012,Vasanth Kumar Rajendran,0.35168921894291905,0.5602588930681974
2012,Chi-Hsiang Chen,0.35168921894291905,0.5602588930681974
2012,Louise Oram,0.35168921894291905,0.5602588930681974
2012,Joanna McGrenere,0.35168921894291905,0.5602588930681974
2012,Tamara Munzner,0.5868475242668731,0.5655623057151395
2012,Syavash Nobarany,0.35168921894291905,0.5602588930681974
2012,Torsten Möller,0.8351273113150639,0.514041805849409
2012,Maryam Booshehrian,0.8351273113150639,0.514041805849409
2012,Tamara Munzner,0.5868475242668731,0.5655623057151395
2012,Randall M. Peterman,0.8351273113150639,0.514041805849409
2012,Michael Sedlmair,0.6619412246964994,0.5759969341988124
2012,Miriah D. Meyer,0.5647656268719639,0.5456702339347235
2012,Tamara Munzner,0.5868475242668731,0.5655623057151395
2013,Michael Sedlmair,0.6728821529524549,0.5651319366967303
2013,Tamara Munzner,0.5837479228188222,0.4751589242518552
2013,Melanie Tory,0.6728821529524549,0.5651319366967303
2013,Joel A. Ferstay,0.3307374249372188,0.3029447028679324
2013,Cydney B. Nielsen,0.3307374249372188,0.3029447028679324
2013,Tamara Munzner,0.5837479228188222,0.4751589242518552
2013,Tamara Munzner,0.5837479228188222,0.4751589242518552
2013,Matthew Brehmer,0.6747140172504011,0.4510426467112026
2014,Michael Sedlmair,0.5361029722976272,0.7727238359842478
2014,Stephen Ingram,0.5588853107881324,0.6891869607402329
2014,Tamara Munzner,0.5588853107881324,0.6891869607402329
2014,Matthew Brehmer,0.5588853107881324,0.6891869607402329
2014,Stephen Ingram,0.5588853107881324,0.6891869607402329
2014,Jonathan Stray,0.7193846581889902,0.5443876768753159
2014,Tamara Munzner,0.5588853107881324,0.6891869607402329
2014,Matthew Brehmer,0.5588853107881324,0.6891869607402329
2015,Stephen Ingram,0.8092496323936448,0.48865849918756554
2015,Tamara Munzner,0.7150808777099045,0.3742184019627034
2015,Daniel A. Keim,0.7938343380975508,0.5707992803711716
2015,Michel Verleysen,0.7938343380975508,0.5707992803711716
2015,Fabrice Rossi,0.7938343380975508,0.5707992803711716
2015,Tamara Munzner,0.7150808777099045,0.3742184019627034
2015,Joanna McGrenere,0.5182052442565738,0.42105581795534236
2015,Tamara Munzner,0.7150808777099045,0.3742184019627034
2015,Jessica Q. Dawson,0.5182052442565738,0.42105581795534236
2015,Michael Sedlmair,0.5888332269126193,0.468575834839373
2015,Miriah D. Meyer,0.5888332269126193,0.468575834839373
2015,Tamara Munzner,0.7150808777099045,0.3742184019627034
2015,P. Samuel Quinan,0.5888332269126193,0.468575834839373
2015,Tamara Munzner,0.7150808777099045,0.3742184019627034
2016,Kevin Tate,0.6165245323593851,0.6032918328742336
2016,Tamara Munzner,0.4584872107950727,0.59812059356587
2016,Jocelyn Ng,0.6165245323593851,0.6032918328742336
2016,Matthew Brehmer,0.5351583031064708,0.5167392721082438
2016,Johanna Fulda,0.7433955065930886,0.6284958118331035
2016,Tamara Munzner,0.4584872107950727,0.59812059356587
2016,Matthew Brehmer,0.5351583031064708,0.5167392721082438
2016,Francisco Escalona,0.556872528401966,0.6560587888049784
2016,Tamara Munzner,0.4584872107950727,0.59812059356587
2016,Antoine Ponsard,0.556872528401966,0.6560587888049784
2016,Anamaria Crisan,0.5257585806097085,0.7336772930076967
2016,Jennifer L. Gardy,0.5257585806097085,0.7336772930076967
2016,Tamara Munzner,0.4584872107950727,0.59812059356587
2017,Tamara Munzner,0.6331743555904543,0.7408250974335848
2017,Benjamin Bach,0.6331743555904543,0.7408250974335848
2017,Matthew Brehmer,0.6331743555904543,0.7408250974335848
2017,Nathalie Henry Riche,0.6331743555904543,0.7408250974335848
2017,Bongshin Lee,0.6331743555904543,0.7408250974335848
2018,Tamara Munzner,0.6111538385900804,0.733563315064345
2018,Melanie Tory,0.6111538385900804,0.733563315064345
2018,Heidi Lam,0.6111538385900804,0.733563315064345
2019,Anamaria Crisan,0.593026779177,0.6698787145405358
2019,Tamara Munzner,0.593026779177,0.6698787145405358
2019,Anamaria Crisan,0.593026779177,0.6698787145405358
2019,Tamara Munzner,0.593026779177,0.6698787145405358
2019,Tamara Munzner,0.593026779177,0.6698787145405358
2019,Anamaria Crisan,0.593026779177,0.6698787145405358
2019,Tamara Munzner,0.593026779177,0.6698787145405358
2020,Zipeng Liu,0.54188480531284,0.43887849558302355
2020,Shing Hei Zhan,0.45258030265286414,0.29899126902024803
2020,Tamara Munzner,0.6929458950405006,0.5796342857322887
2020,Zipeng Liu,0.54188480531284,0.43887849558302355
2020,Takayuki Itoh,0.4537440090841908,0.15799121062541782
2020,Jessica Q Dawson,0.4537440090841908,0.15799121062541782
